Jane Austen (1775-1817);The Jane Austen Centre, Bath;25 Gay St, Bath BA1, UK;51.38500459999999;-2.3636675;Jane Austen (1775-1817) lived in Bath from 1801 to 1806, on more than one location. She never actually lived at No. 40 Gay Street, the Georgian town house where the Jane Austen Centre currently resides. Austen did however live on No 25 Gay Street, in a house similar to the one that holds the museum. Austen would use Bath as a backdrop for two of her novels, <em>Persuasion</em> (1817) and <em>Northanger Abbey</em> (1818).;South West;Museum
Jane Austen (1775-1817);Stanford Cottage, Worthing;Stanford Cottage, Warwick Street, Worthing BN11 3EZ, United Kingdom;50.81156989999999;-0.3683448;Before moving to Southampton in 1806, Jane Austen (1775-1817) lived in Stanford Cottage in the seaside resort of Worthing, on the Sussex coast. It was in this cottage, now home to a Pizza Express, that Austen supposedly wrote the posthumously published novel <em>Lady Susan</em> (1871).;South East;-
Jane Austen (1775-1817);Jane Austen’s House Museum, Chawton;Winchester Rd, Chawton, Alton GU34 1SD;51.1359894;-0.987134;Jane Austen (1775-1817) lived in Chawton, Hampshire, for the last eight years of her life. In her former house, now the Jane Austen’s House Museum, she wrote and revised almost all her novels. The museum in Chawton is the only Austen related house that is open to public.;South East;Museum (Jane Austen House)
Charlotte Brönte (1816-1855);The Brontë Parsonage Museum, Haworth;Church St, Haworth, Keighley BD22 8DR;53.8312312;-1.9568539;Charlotte Brönte (1816-1855) wrote all her novels, including <em>Jane Eyre</em> (1847), in this house in Haworth, were she moved to in 1820. The house is currently being run by the Brontë Society and famously holds The Brontë Parsonage Museum.;Yorkshire and the Humber;Museum (The Brontë Parsonage Museum)
George Eliot (1819-1880);South Farm, Ansley;Nuneaton Rd, Ansley, Church End, Nuneaton CV10 0QR;52.5315383;-1.5730356;George Eliot (1819-1880) was born in the Warwickshire house South Farm as Mary An Evans. She lived in the house for four months before moving to nearby Griff House. Several of her novels have the Warwickshire countryside surrounding South Farm as their setting. This house is not open as a regular museum and can only be visited on an official guided tour.;West Midlands;Museum
George Eliot (1819-1880);Strand Bridge House, London ;Strand Bridge House, 142 Strand, London WC2R 1HH;51.5113121;-0.118588;Invited by her publisher John Chapman, George Eliot (1819-1880) worked here as an editor for the <em>Westminster Review</em>. Here she met her future lover George Henry Lewes, a married man with whom she would scandalously live.;Greater London;-
George Eliot (1819-1880);Holly Lodge, South Field;Holly Lodge, 33 South Field, SW18;51.454022;-0.1999171;Holly Lodge, a semi-detached house, was home to George Eliot (1819-1880) between February 1859 and September 1860. Here she finished her novel <em>The Mill on the Floss</em> (1860). Both Charles Dickens and Wilkie Collins visited Eliot at Holly Lodge.;Greater London;-
William Makepeace Thackeray (1811-1863);Palace Green, London;2 Palace Green, Kensington, London W8 4QB;51.5031359;-0.1896435;Once described by William Makepeace Thackeray (1811-1863) as the ‘reddest house in all London’, this London house was home to the Calcutta-born author from 1860 to his death in 1863. The Israeli Embassy currently resides in the building.;Greater London;Blue Plaque (English Heritage)
William Makepeace Thackeray (1811-1863);Thackeray's House, Tunbridge Wells;Rock Villa, 85 London Road, TN1 1EA;51.1349818;0.2580691;Born in Calcutta in 1811, William Makepeace Thackeray (1811-1863) first visited the Kentish town of Royal Tunbridge Wells in 1823 as a school boy. In <em>The Virginians</em> (1859) he used the town as the setting for parts of the novel. In 1860, already one of England’s most famous writers, he stayed at Rock Villa, the building that is now known as Thackeray's House, a former Michelin star restaurant.;South East;Named ‘Thackeray House’
Charles Dickens (1812-1870);Tavistock House, London;Tavistock House, Tavistock Square, Kings Cross, London WC1H 9TW;51.52617189999999;-0.1280374;Demolished in 1901 and today home to the headquarters of the British Medical Association, Charles Dickens (1812-1870) lived in Tavistock House from 1851 to 1860 and wrote his novels <em>Bleak House</em>, <em>Hard Times</em>, <em>Little Dorrit</em> and <em>A Tale of Two Cities</em> here.;Greater London;Blue Plaque (English Heritage)
